ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason,direction
AAPL,2022-02-24,2022-02-25,152.50371183013917,163.92191633605955,39.82805402593284,-467.9748755621331,-0.07712364509866694,SELL,76,,VOLATILE,1,STOP_LOSS,SHORT
AAPL,2022-02-28,2022-03-24,162.97846755981448,171.14552755737304,37.09386716206012,-326.2236926712385,-0.05401540899650069,SELL,76,,VOLATILE,18,SIGNAL,SHORT
AAPL,2022-03-25,2022-04-18,173.9669448852539,163.83803816986085,43.29620667295343,-453.1689128822318,-0.06010484031838329,BUY,76,,VOLATILE,15,STOP_LOSS,LONG
AAPL,2022-04-28,2022-05-23,159.170375,137.85888828277587,37.68390880057247,781.7100229659063,0.13045538435710946,SELL,76,,VOLATILE,17,TAKE_PROFIT,SHORT
AAPL,2022-05-24,2022-05-31,140.73959255981447,149.14454232788086,42.95623054039279,-375.91554659938356,-0.062241828829259035,SELL,76,,VOLATILE,4,STOP_LOSS,SHORT
AAPL,2022-06-14,2022-06-27,133.0634398803711,142.7713469467163,45.262692420804875,-456.70928435026144,-0.07590584541520266,SELL,76,,VOLATILE,8,STOP_LOSS,SHORT
AAPL,2022-07-22,2022-08-11,155.46769438934325,169.97496755981447,48.20189003737363,683.591034700451,0.0911293043955216,BUY,76,,VOLATILE,14,TAKE_PROFIT,LONG
AAPL,2022-08-12,2022-08-29,169.90491732788084,161.06941889953615,39.73663417949723,-364.24477496212603,-0.05389670642345964,BUY,68,,VOLATILE,11,STOP_LOSS,LONG
AAPL,2022-09-14,2022-10-12,154.71259828948976,139.1995698852539,38.8750902621241,579.6155849402512,0.09646671195587547,SELL,76,,VOLATILE,20,MAX_HOLD,SHORT
AAPL,2022-10-13,2022-10-14,134.9225104904175,144.38215255737305,44.83811947572342,-437.2810242121286,-0.07235413235901758,SELL,76,,VOLATILE,1,STOP_LOSS,SHORT
AAPL,2022-10-17,2022-10-25,140.99947232055663,150.16504133605957,42.717262838364626,-407.5796386689972,-0.06773702014242289,SELL,76,,VOLATILE,6,STOP_LOSS,SHORT
AAPL,2022-10-26,2022-10-28,151.0354867172241,148.12589694976808,44.41795198942945,-142.52615457660886,-0.021223791012234632,BUY,68,,VOLATILE,2,STOP_LOSS,LONG
AAPL,2022-10-31,2022-11-03,153.23658366394042,141.98896755981445,48.85989328365674,-563.9820114705362,-0.07525167991407188,BUY,76,,VOLATILE,3,STOP_LOSS,LONG
AAPL,2022-11-04,2022-11-11,142.0189513397217,145.89291732788084,37.52002038681351,-158.8180190103576,-0.029834922853485914,SELL,68,,VOLATILE,5,STOP_LOSS,SHORT
AAPL,2022-11-16,2022-11-30,149.2045698852539,141.32929389953614,49.812450156827595,-406.7589961184776,-0.054674278432483035,BUY,76,,VOLATILE,9,STOP_LOSS,LONG
AAPL,2022-12-28,2023-01-18,129.60516316986084,136.88841732788086,45.68560213901828,-352.6121883275382,-0.05961151718102434,SELL,76,,VOLATILE,13,STOP_LOSS,SHORT
