ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason,direction
TSLA,2022-02-16,2022-02-17,304.530977432251,304.57222343444823,15.746197104928628,-10.72004721799749,-0.002237814327914474,SELL,60,,VOLATILE,1,SIGNAL,SHORT
TSLA,2022-02-18,2022-02-24,295.18567683410646,233.58006479644774,18.40869416451612,1122.7147891427658,0.2068167418814849,SELL,68,,VOLATILE,3,TAKE_PROFIT,SHORT
TSLA,2022-03-01,2022-03-09,289.74839439392093,279.9665734863281,16.733577525196882,151.24237258027188,0.031224691429984068,SELL,60,,VOLATILE,6,TAKE_PROFIT,SHORT
TSLA,2022-03-17,2022-03-21,277.1351719207764,304.84085049438477,18.981451778903004,514.8472520407822,0.09777396985538149,BUY,52,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2022-03-22,2022-03-24,310.155,336.4083718261719,24.914662039472628,637.9849785495344,0.08247884840521229,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2022-03-25,2022-03-29,336.168,369.1453215789795,23.130831681785438,746.4783910351216,0.09590374006125398,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2022-03-30,2022-04-07,363.9051893005371,350.6212630462647,19.25788751275077,-269.58062757663356,-0.03842887831652076,BUY,68,,VOLATILE,6,STOP_LOSS,LONG
TSLA,2022-04-08,2022-04-12,347.9105321502685,332.38038804626467,22.45420222986849,-363.9923862675387,-0.04654714154046479,BUY,76,,VOLATILE,2,STOP_LOSS,LONG
TSLA,2022-10-28,2022-10-31,225.28729389953614,226.30309744262695,21.823131820962008,-32.51477869564678,-0.006620054118835093,SELL,60,,VOLATILE,1,SIGNAL,SHORT
TSLA,2022-11-01,2022-11-03,234.16702805328367,211.2543206100464,45.47601316808368,-1062.2345725222676,-0.09965021203836177,BUY,52,,BEAR,2,STOP_LOSS,LONG
TSLA,2022-11-04,2022-11-08,222.48870610046387,194.11701427459715,21.86168873118441,610.1725951239232,0.12557278695551957,SELL,60,,VOLATILE,2,TAKE_PROFIT,SHORT
TSLA,2022-11-28,2022-11-29,179.87002671051027,185.08250049591064,30.831538090037068,-172.51519875948907,-0.03113923109947566,SELL,68,,VOLATILE,1,STOP_LOSS,SHORT
TSLA,2022-11-30,2022-12-01,182.33877767944338,197.1785418319702,30.362680933141302,-462.65181678000863,-0.08365070947628549,SELL,68,,VOLATILE,1,SIGNAL,SHORT
TSLA,2022-12-02,2022-12-06,191.87588877868652,181.12939122009277,27.455309945236223,-305.28939687049206,-0.05789364424501001,BUY,52,,VOLATILE,2,SIGNAL,LONG
TSLA,2022-12-07,2022-12-12,174.94248377990723,176.18805610656736,31.407807537348823,-51.797304285028986,-0.009436452555490282,SELL,68,,VOLATILE,3,STOP_LOSS,SHORT
TSLA,2022-12-13,2022-12-14,174.78256011962893,159.329625,31.420439765338095,474.49089084633397,0.08648723951228647,SELL,68,,VOLATILE,1,TAKE_PROFIT,SHORT
TSLA,2022-12-15,2022-12-23,153.36328244018554,126.43318774795532,40.20944691356768,1067.893759931686,0.17334569718840118,SELL,76,,VOLATILE,6,TAKE_PROFIT,SHORT
TSLA,2023-01-25,2023-01-27,141.9809586639404,162.34877767944337,54.862249663043144,1100.7281579450437,0.14116995702760252,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2023-01-30,2023-01-31,178.13902805328368,164.48772232055666,39.543458408256576,-553.3684871134501,-0.07847776359478463,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2023-02-01,2023-02-03,173.97694438934326,183.85802194976807,45.01143876455493,428.6548508636888,0.054683848475517945,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2023-02-07,2023-02-08,196.52820767211912,196.00195610046387,35.800261320454936,-32.892626224776905,-0.004670392522418931,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2023-02-09,2023-02-13,207.88388877868653,194.32278816986084,33.83391935135116,-472.43341258501914,-0.0671016787775068,BUY,68,,VOLATILE,2,STOP_LOSS,LONG
TSLA,2023-02-21,2023-02-23,205.09250049591063,203.80804866027833,38.15415664058629,-64.60843213692988,-0.00824828172641126,BUY,76,,VOLATILE,2,STOP_LOSS,LONG
TSLA,2023-02-24,2023-03-03,196.4281668319702,194.70260305023194,35.621390135411566,-75.39960242077177,-0.010765156574808638,BUY,68,,VOLATILE,5,STOP_LOSS,LONG
TSLA,2023-03-08,2023-03-14,184.94747328948975,177.39865255737303,23.127708757118576,164.4957271651956,0.03849533657073664,SELL,52,,VOLATILE,4,TAKE_PROFIT,SHORT
TSLA,2023-05-18,2023-05-22,174.13289122009277,180.7903469467163,54.884332285553604,-386.78117070849476,-0.040510783192137426,SELL,58,,BEAR,2,STOP_LOSS,SHORT
TSLA,2023-06-22,2023-06-23,250.89538927459716,259.1603635406494,41.71153975993127,323.46959189991503,0.030878093711862262,BUY,68,,SIDEWAYS,1,TAKE_PROFIT,LONG
TSLA,2023-06-26,2023-07-18,250.19504232788086,290.00491889953616,46.896515110374864,1841.6109825404674,0.15679945453456315,BUY,76,,SIDEWAYS,15,TAKE_PROFIT,LONG
TSLA,2023-07-19,2023-07-21,296.1880285491943,267.86600000000004,42.444622121192175,-1226.0588595738736,-0.09742873637986392,BUY,60,,BULL,2,STOP_LOSS,LONG
TSLA,2023-07-25,2023-07-27,272.51619488525387,268.17584255981444,45.5921853406076,-222.53747924835625,-0.01789313180724154,BUY,60,,BULL,2,SIGNAL,LONG
TSLA,2024-02-08,2024-02-16,188.90550000000002,202.16102755737305,66.5054050470385,-915.1102092066812,-0.07291323490330555,SELL,76,,BEAR,6,SIGNAL,SHORT
TSLA,2024-02-20,2024-02-21,196.2280698852539,193.2633206100464,54.27254721464108,-182.04318489862453,-0.017076505812274153,BUY,52,,BEAR,1,SIGNAL,LONG
TSLA,2024-02-22,2024-03-05,194.09699999999998,182.95847805023195,54.77098363206812,-630.7195028128481,-0.059269712331791916,BUY,52,,BEAR,8,STOP_LOSS,LONG
TSLA,2024-03-11,2024-03-27,175.3622719497681,181.50070866394043,70.44466983087146,-472.38324726971405,-0.038277599813011716,SELL,76,,BEAR,12,STOP_LOSS,SHORT
TSLA,2024-07-12,2024-07-16,235.91790305328368,255.18234255981446,32.57476639836186,611.5371409415884,0.07949623336557708,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2024-07-17,2024-07-22,252.85636072540282,244.08790171051027,27.35770329133879,-253.4801537357498,-0.03660634481823557,BUY,68,,VOLATILE,3,STOP_LOSS,LONG
TSLA,2024-07-24,2024-07-25,225.53270816802979,216.69160305023195,30.595783277205587,-284.0307353010812,-0.04112066692664799,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-08-14,2024-08-16,207.2863043899536,211.2555688934326,26.556718587177535,-117.62670797323335,-0.021389243963916317,SELL,68,,VOLATILE,2,STOP_LOSS,SHORT
TSLA,2024-08-19,2024-08-21,216.96147232055665,222.78133316802976,22.361458221822367,-140.94418055067763,-0.02908030253111755,SELL,60,,VOLATILE,2,STOP_LOSS,SHORT
TSLA,2024-09-30,2024-10-03,259.1695285491943,244.35775572967532,59.19645911378026,-906.6115364097423,-0.059034718276265094,BUY,76,,BULL,3,STOP_LOSS,LONG
TSLA,2024-10-04,2024-10-11,246.81334744262693,220.0199398803711,55.11777936371387,-1502.5239405487846,-0.11033847287399044,BUY,68,,BULL,5,STOP_LOSS,LONG
TSLA,2024-10-28,2024-10-30,270.135,257.91098854064944,27.719650601684567,-353.48257690815444,-0.04715908019975743,BUY,76,,VOLATILE,2,STOP_LOSS,LONG
TSLA,2024-10-31,2024-11-01,258.1189852294922,251.91397328948975,25.863341464090684,-173.6734991571593,-0.02598931867020592,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-11-04,2024-11-07,244.68227755737303,288.7455696411133,27.235407157143264,1185.5535759773848,0.17772589945132594,BUY,68,,VOLATILE,3,TAKE_PROFIT,LONG
TSLA,2024-11-08,2024-11-11,299.2895846557617,346.1268377990723,22.535226433723317,1040.9434998940596,0.1541840859009577,BUY,68,,VOLATILE,1,TAKE_PROFIT,LONG
TSLA,2024-11-12,2024-11-13,342.9113602294922,335.6820811004639,19.87473380718488,-157.16686231700805,-0.023037943661223147,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-11-14,2024-11-15,327.85384744262694,310.4147223205567,20.754965626090534,-375.1956846833091,-0.055083490702778105,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-11-18,2024-12-06,340.90037599182125,377.2313034210205,22.225406920995663,791.5088771333085,0.10436250892286707,BUY,76,,VOLATILE,13,TAKE_PROFIT,LONG
TSLA,2024-12-09,2024-12-10,397.8087903442383,392.48365267944337,17.176282968033583,-105.04035800312431,-0.015357430341710016,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-12-11,2024-12-12,409.9048622131347,424.6275763397217,33.30402427790273,462.53234011421046,0.03384762821729912,BUY,68,,BULL,1,TAKE_PROFIT,LONG
TSLA,2024-12-13,2024-12-16,420.21,440.8694513397217,32.636831678150074,646.1561308225428,0.04706835462051582,BUY,68,,BULL,1,TAKE_PROFIT,LONG
TSLA,2024-12-17,2024-12-18,476.1379438934326,466.26675,28.98763406873555,-313.4606388156026,-0.02268837409427789,BUY,68,,BULL,1,TAKE_PROFIT,LONG
TSLA,2024-12-19,2024-12-20,452.1059448852539,425.2972547607422,34.01479714742089,-941.7368482257862,-0.06117688829835712,BUY,76,,BULL,1,STOP_LOSS,LONG
TSLA,2024-12-23,2024-12-30,431.21549999999996,417.2012986602783,35.3310375078924,-525.1117189126526,-0.03443236703693138,BUY,76,,BULL,5,MAX_HOLD,LONG
SUMMARY,,,0.0,0.0,54.0,-192.70188016886823,0.35185185185185186,ALL,54,avg_pnl_per_trade=-3.57; sharpe=-1.5387; profit_factor=0.9863; avg_hold_bars=2.98,ALL,2.9814814814814814,SUMMARY,ALL
