ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason
TSLA,2022-09-13,2022-09-26,293.0464438934326,271.6940715789795,39.544624512235195,-866.7039972516941,-0.0747158618320426,BUY,58,,UNKNOWN,9,STOP_LOSS
TSLA,2023-08-30,2023-09-05,254.3270969467163,244.87750000000003,45.17007625170068,-449.38812434029387,-0.039079055280783814,BUY,58,,BULL,3,STOP_LOSS
TSLA,2023-10-06,2023-10-19,254.1069857254028,225.8370219497681,45.00426221590341,-1293.8683885631199,-0.11302793000641986,BUY,58,,BULL,9,STOP_LOSS
TSLA,2023-12-07,2023-12-13,241.67077805328367,234.07290744018556,46.69972395136443,-377.03555903401684,-0.03337411670046211,BUY,58,,BULL,4,STOP_LOSS
TSLA,2023-12-15,2024-01-04,251.3356117172241,239.13037500000002,44.73009659463964,-567.8800082841208,-0.05046248558889693,BUY,58,,BULL,12,STOP_LOSS
SUMMARY,,,0.0,0.0,5.0,-3554.8760774732364,0.0,ALL,5,avg_pnl_per_trade=-710.98; sharpe=-4.8790; profit_factor=0.0000; avg_hold_bars=7.40,ALL,7.4,SUMMARY
