ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason,direction
TSLA,2022-03-22,2022-03-24,310.155,336.4083718261719,24.4793976960152,626.839247879614,0.08247884840521236,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2022-03-25,2022-03-29,336.168,369.1453215789795,22.726731226814557,733.4372578154826,0.09590374006125404,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2022-03-30,2022-04-07,363.9051893005371,350.6212630462647,18.92144820037582,-264.8709977737053,-0.038428878316520754,BUY,68,,VOLATILE,6,STOP_LOSS,LONG
TSLA,2022-04-08,2022-04-12,347.9105321502685,332.38038804626467,22.061922632579158,-357.6333633443601,-0.04654714154046474,BUY,76,,VOLATILE,2,STOP_LOSS,LONG
TSLA,2022-10-20,2022-10-21,208.17585877990723,206.52320816802978,26.298246956235804,32.00848943395795,0.005852514880944875,SELL,68,,VOLATILE,1,STOP_LOSS,SHORT
TSLA,2022-11-30,2022-12-01,182.33877767944338,197.1785418319702,30.034201920839003,-457.646612787963,-0.08365070947628545,SELL,68,,VOLATILE,1,SIGNAL,SHORT
TSLA,2022-12-07,2022-12-12,174.94248377990723,176.18805610656736,31.161833560399398,-51.39164754139529,-0.009436452555490124,SELL,68,,VOLATILE,3,STOP_LOSS,SHORT
TSLA,2022-12-13,2022-12-14,174.78256011962893,159.329625,31.17436685759407,470.7748590504516,0.08648723951228651,SELL,68,,VOLATILE,1,TAKE_PROFIT,SHORT
TSLA,2023-01-27,2023-01-30,162.51120767211913,177.96097805023194,47.06104564649923,711.0593719186554,0.09288100312967926,BUY,76,,VOLATILE,1,TAKE_PROFIT,LONG
TSLA,2023-02-02,2023-02-09,187.4236668319702,207.67610877990722,41.093710406222925,816.0118686668084,0.10584311470889274,BUY,76,,VOLATILE,5,TAKE_PROFIT,LONG
TSLA,2023-02-10,2023-02-13,202.33111072540282,194.32278816986084,34.333016578130376,-288.56819594898843,-0.04149920318461662,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2023-02-14,2023-02-15,192.03597244262696,211.65411450958254,40.31525689194248,774.6355676117282,0.09995656792382943,BUY,76,,VOLATILE,1,TAKE_PROFIT,LONG
TSLA,2023-02-16,2023-02-17,210.88538877868652,199.8900104904175,33.0969204691698,-377.50856145557736,-0.054032946495727784,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2023-02-21,2023-02-23,205.09250049591063,203.80804866027833,37.895735064385555,-64.17083334458948,-0.008248281726411249,BUY,76,,VOLATILE,2,STOP_LOSS,LONG
TSLA,2023-02-24,2023-03-03,196.4281668319702,194.70260305023194,35.38012321731484,-74.88891404975038,-0.010765156574808667,BUY,68,,VOLATILE,5,STOP_LOSS,LONG
TSLA,2023-05-18,2023-05-22,174.13289122009277,180.7903469467163,54.425612345344305,-383.54847700314895,-0.04051078319213717,SELL,58,,BEAR,2,STOP_LOSS,SHORT
TSLA,2023-06-22,2023-06-23,250.89538927459716,259.1603635406494,41.36291722544978,320.76605255313007,0.030878093711861985,BUY,68,,SIDEWAYS,1,TAKE_PROFIT,LONG
TSLA,2023-06-26,2023-07-18,250.19504232788086,290.00491889953616,46.504556864521916,1826.2189089810308,0.1567994545345631,BUY,76,,SIDEWAYS,15,TAKE_PROFIT,LONG
TSLA,2023-07-19,2023-07-21,296.1880285491943,267.86600000000004,42.089872528533576,-1215.811533545917,-0.09742873637986396,BUY,60,,BULL,2,STOP_LOSS,LONG
TSLA,2023-07-25,2023-07-27,272.51619488525387,268.17584255981444,45.21112860433098,-220.67752441381708,-0.01789313180724178,BUY,60,,BULL,2,SIGNAL,LONG
TSLA,2024-02-08,2024-02-16,188.90550000000002,202.16102755737305,65.94955688133525,-907.4617732510796,-0.07291323490330583,SELL,76,,BEAR,6,SIGNAL,SHORT
TSLA,2024-02-21,2024-02-22,193.2633206100464,194.09699999999998,50.441121350953985,-62.56545407563135,-0.006424435047248996,SELL,60,,BEAR,1,SIGNAL,SHORT
TSLA,2024-03-11,2024-03-27,175.3622719497681,181.50070866394043,70.37087514247297,-471.88839968762477,-0.03827759981301178,SELL,76,,BEAR,12,STOP_LOSS,SHORT
TSLA,2024-07-12,2024-07-16,235.91790305328368,255.18234255981446,32.54064252863841,610.8965219583761,0.07949623336557726,BUY,76,,VOLATILE,2,TAKE_PROFIT,LONG
TSLA,2024-07-17,2024-07-22,252.85636072540282,244.08790171051027,27.329044583809473,-253.2146192530845,-0.03660634481823569,BUY,68,,VOLATILE,3,STOP_LOSS,LONG
TSLA,2024-07-23,2024-07-24,253.72680610656738,225.30728816986084,27.167493528266316,-785.1012252779974,-0.11378254742429081,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-08-14,2024-08-16,207.2863043899536,211.2555688934326,26.39745190386139,-116.9212738441338,-0.021389243963916362,SELL,68,,VOLATILE,2,STOP_LOSS,SHORT
TSLA,2024-09-30,2024-10-03,259.1695285491943,244.35775572967532,58.92352882173503,-902.431527079656,-0.059034718276265316,BUY,76,,BULL,3,STOP_LOSS,LONG
TSLA,2024-10-04,2024-10-11,246.81334744262693,220.0199398803711,54.86365417035208,-1495.5964265717976,-0.11033847287399053,BUY,68,,BULL,5,STOP_LOSS,LONG
TSLA,2024-10-28,2024-10-30,270.135,257.91098854064944,27.59184680315722,-351.8528155272743,-0.047159080199757335,BUY,76,,VOLATILE,2,STOP_LOSS,LONG
TSLA,2024-10-31,2024-11-01,258.1189852294922,251.91397328948975,25.744096336177,-172.8727627692897,-0.02598931867020602,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-11-04,2024-11-07,244.68227755737303,288.7455696411133,27.10983600405989,1180.0874807316404,0.17772589945132608,BUY,68,,VOLATILE,3,TAKE_PROFIT,LONG
TSLA,2024-11-08,2024-11-11,299.2895846557617,346.1268377990723,22.431325862237443,1036.1441416607804,0.15418408590095767,BUY,68,,VOLATILE,1,TAKE_PROFIT,LONG
TSLA,2024-11-12,2024-11-13,342.9113602294922,335.6820811004639,19.783099662448453,-156.44223117733873,-0.02303794366122316,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-11-14,2024-11-15,327.85384744262694,310.4147223205567,20.659273097947427,-373.46581317869914,-0.055083490702778085,BUY,68,,VOLATILE,1,STOP_LOSS,LONG
TSLA,2024-11-18,2024-12-06,340.90037599182125,377.2313034210205,22.122934798632528,787.8595583695442,0.10436250892286723,BUY,76,,VOLATILE,13,TAKE_PROFIT,LONG
