ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason
NVDA,2023-05-03,2023-05-19,27.853920152664184,31.520231298446657,416.04239277260854,1500.638697701661,0.12936540497428112,BUY,58,,BULL,12,TAKE_PROFIT
NVDA,2023-10-09,2023-10-18,44.86442005348205,42.56970410346985,262.17460881327787,-624.5392638298181,-0.05304359893716235,BUY,58,,BULL,7,STOP_LOSS
NVDA,2023-11-07,2023-11-21,45.741861270904536,50.10093645095826,255.5632252806497,1089.525417749639,0.09310887861994341,BUY,58,,BULL,10,TAKE_PROFIT
NVDA,2023-12-18,2024-01-03,49.42470152664184,47.46125811004639,239.07471206745075,-492.57265238680884,-0.04164458340770197,BUY,58,,BULL,10,STOP_LOSS
NVDA,2024-05-21,2024-05-24,93.6457985229492,104.39677299880982,125.57012835220063,1325.1330137198638,0.11257728249538583,BUY,58,,BULL,3,TAKE_PROFIT
NVDA,2024-09-30,2024-10-08,118.36915255737304,130.19486450958252,100.64004472889003,1165.1246860257197,0.0977077397524151,BUY,58,,VOLATILE,6,TAKE_PROFIT
NVDA,2024-10-17,2024-11-01,139.40966633605956,134.6326469497681,86.41937513133145,-436.50959582727046,-0.036195594010888184,BUY,58,,BULL,11,STOP_LOSS
NVDA,2024-11-13,2024-11-18,149.14454232788086,139.43025,80.43949537937321,-804.6255834965159,-0.06700127332848929,BUY,58,,BULL,3,STOP_LOSS
NVDA,2024-12-27,2024-12-30,138.6192780532837,137.4212604904175,85.87455198334936,-126.58407905599961,-0.010623237522041747,BUY,58,,BULL,2,STOP_LOSS
SUMMARY,,,0.0,0.0,9.0,2595.5906406004506,0.4444444444444444,ALL,9,avg_pnl_per_trade=288.40; sharpe=-2.3468; profit_factor=2.0446; avg_hold_bars=7.11,ALL,7.111111111111111,SUMMARY
