ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason
AAPL,2022-03-22,2022-04-11,165.59274950408934,168.62565171051025,69.98139485645422,188.85765696486305,0.016280832496970953,BUY,58,,VOLATILE,14,SIGNAL
AAPL,2022-06-02,2022-06-13,147.9039168319702,132.8035601196289,78.4989163215134,-1207.3968707311287,-0.10388973341563804,BUY,58,,VOLATILE,7,STOP_LOSS
AAPL,2022-06-28,2022-07-01,142.2010698852539,135.97197328948977,80.6630996615339,-524.8965394101997,-0.04571533023847468,BUY,58,,VOLATILE,3,STOP_LOSS
AAPL,2022-07-05,2022-08-01,137.83888927459716,160.92948950958254,82.7745490461777,1886.58360383336,0.1651860582541996,BUY,58,,VOLATILE,19,TAKE_PROFIT
AAPL,2022-08-03,2022-08-29,160.92041633605956,161.06941889953615,72.26042063810407,-12.500133022345835,-0.001073912566450449,BUY,58,,UNKNOWN,18,SIGNAL
AAPL,2022-10-20,2022-11-07,143.09151427459716,137.0414456100464,81.2537938799551,-514.3528980104311,-0.04419463850632674,BUY,58,,VOLATILE,12,STOP_LOSS
AAPL,2022-11-18,2022-11-29,152.38615255737304,144.21784828948975,75.90665478377637,-642.5428697308325,-0.0554935712661253,BUY,58,,VOLATILE,6,STOP_LOSS
AAPL,2023-01-12,2023-02-06,133.9469448852539,152.49372232055666,85.80010968872207,1566.7388976557231,0.13618895667273845,BUY,58,,VOLATILE,16,TAKE_PROFIT
AAPL,2023-02-15,2023-02-23,153.18655561065674,150.01495133972168,76.20918604157156,-264.8121199852012,-0.022660829663569592,BUY,58,,UNKNOWN,5,SIGNAL
AAPL,2023-03-17,2023-04-17,156.1580418319702,165.00745133972168,74.5625077043994,635.8872600421037,0.05455834480466225,BUY,58,,SIDEWAYS,20,MAX_HOLD
AAPL,2023-05-08,2023-06-06,172.56623572540283,179.88001622009278,76.09467837658562,529.7204902735502,0.04029977146831759,BUY,65,,BULL,20,MAX_HOLD
AAPL,2023-08-29,2023-09-13,179.7898469467163,176.42173950958252,65.51321345917822,-243.9921071825338,-0.02069415202443304,BUY,58,,UNKNOWN,10,SIGNAL
AAPL,2023-10-09,2023-10-23,176.89840255737303,170.82454866027834,66.42420531400047,-426.5481390119312,-0.03626466714161031,BUY,58,,UNKNOWN,10,SIGNAL
AAPL,2023-11-06,2023-12-05,176.4681948852539,190.11490171051025,66.30603132097883,880.5522998990418,0.07517987522009491,BUY,58,,BULL,20,MAX_HOLD
AAPL,2023-12-18,2023-12-26,196.18804133605957,193.5131956100464,67.4222612023548,-206.61868580352166,-0.015604852653774181,BUY,65,,BULL,5,SIGNAL
AAPL,2024-01-22,2024-02-02,192.39615305328368,179.7700706100464,61.222657892697676,-795.7873313378695,-0.06749232350763724,BUY,58,,BULL,9,SIGNAL
AAPL,2024-03-21,2024-04-03,177.1385280532837,168.70559828948976,65.97539719542553,-579.1830942905981,-0.04950929638306799,BUY,58,,SIDEWAYS,8,STOP_LOSS
AAPL,2024-04-15,2024-04-19,175.44768061065673,166.12690171051025,66.2286704826678,-639.9248248774074,-0.055017545675663124,BUY,58,,VOLATILE,4,STOP_LOSS
AAPL,2024-04-30,2024-05-29,173.41666683197022,189.5151956100464,66.57670058169887,1047.6241243264776,0.09064801743552768,BUY,58,,UNKNOWN,20,MAX_HOLD
AAPL,2024-06-12,2024-07-12,207.4736801147461,228.80553816986085,63.019984694788505,1316.8390584857825,0.10061374590334743,BUY,65,,VOLATILE,20,MAX_HOLD
AAPL,2024-08-16,2024-09-05,224.03195816802977,221.5191898803711,52.758157031168345,-156.07548133739328,-0.013191707539416673,BUY,58,,BULL,13,SIGNAL
AAPL,2024-09-23,2024-10-08,227.45366633605957,224.18785305023195,58.14694867294285,-216.15865375275825,-0.01632746186936712,BUY,65,,BULL,11,SIGNAL
AAPL,2024-10-15,2024-10-31,233.72680561065673,229.2253263397217,50.38522292988245,-250.1339829544886,-0.021219097732486585,BUY,58,,BULL,12,SIGNAL
AAPL,2024-11-20,2024-12-19,228.17402755737302,247.37625000000003,51.484346293362314,964.1304746687147,0.08198989342099758,BUY,58,,BULL,20,MAX_HOLD
AAPL,2024-12-23,2024-12-30,254.89738927459715,252.07389694976808,52.14016104444407,-173.6509090329855,-0.013052846418111236,BUY,65,,BULL,5,MAX_HOLD
SUMMARY,,,0.0,0.0,25.0,2162.3592256780103,0.36,ALL,25,avg_pnl_per_trade=86.49; sharpe=-1.6945; profit_factor=1.3155; avg_hold_bars=12.28,ALL,12.28,SUMMARY
