ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason,direction
AAPL,2022-02-18,2022-02-25,169.73509732055666,163.92191633605955,32.01792393179518,173.26915550699323,0.03191471336455944,SELL,68,,VOLATILE,4,TAKE_PROFIT,SHORT
AAPL,2022-02-28,2022-03-21,162.97846755981448,163.59174950408934,37.33284774019268,-44.21403310906226,-0.007273999969422057,SELL,76,,VOLATILE,15,SIGNAL,SHORT
AAPL,2022-03-24,2022-04-22,171.14552755737304,166.37677671051026,44.41954219791366,-226.81831571072235,-0.02980604899208631,BUY,76,,VOLATILE,20,MAX_HOLD,LONG
AAPL,2022-05-23,2022-05-31,137.72109828948976,149.14454232788086,44.059973999639745,-518.9899339897611,-0.08561477751620855,SELL,76,,VOLATILE,5,SIGNAL,SHORT
AAPL,2022-06-15,2022-06-27,134.22284828948975,142.7713469467163,44.97345289451567,-401.1384125325585,-0.06651905645924225,SELL,76,,VOLATILE,7,STOP_LOSS,SHORT
AAPL,2022-08-08,2022-08-29,166.4531801147461,161.06941889953615,45.14858239820985,-257.8563678860646,-0.03427737596875615,BUY,76,,VOLATILE,15,SIGNAL,LONG
AAPL,2022-10-14,2022-10-24,144.23784255981445,147.26359744262695,41.573265258974956,-141.50703989387057,-0.023622138088847784,SELL,76,,VOLATILE,6,SIGNAL,SHORT
AAPL,2023-03-22,2023-03-23,159.37965305328368,158.75058683013916,70.44315579284249,-66.72350801150787,-0.005937082900405072,BUY,76,,SIDEWAYS,1,TAKE_PROFIT,LONG
AAPL,2023-03-24,2023-03-27,158.93943061065673,159.86003244018556,70.59045578622518,42.48150334290949,0.0037825803389555926,BUY,76,,SIDEWAYS,1,TAKE_PROFIT,LONG
AAPL,2023-03-28,2023-03-30,158.04898622131347,161.44923377990725,71.01877190670314,218.79103457923156,0.019472897235898873,BUY,76,,SIDEWAYS,2,TAKE_PROFIT,LONG
AAPL,2023-03-31,2023-04-03,162.52122244262694,164.1878692703247,69.21780426054646,92.7475479307177,0.008236457471395972,BUY,76,,SIDEWAYS,1,TAKE_PROFIT,LONG
AAPL,2023-04-04,2023-04-11,166.6833061065674,162.26883110046387,80.58931084768408,-382.26952453559716,-0.02842929244411599,BUY,68,,BULL,4,STOP_LOSS,LONG
AAPL,2023-04-12,2023-04-13,161.30061122131346,161.5491898803711,82.95663574370586,-6.161284076817537,-0.0004599917169387017,BUY,68,,BULL,1,SIGNAL,LONG
