ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,signal,confidence,reasoning,regime,hold_bars,exit_reason
TSLA,2022-02-17,2022-02-18,304.57222343444823,295.18567683410646,17.056070104578172,-170.32710964807393,-0.032755213393860366,BUY,52,,VOLATILE,1,SIGNAL
TSLA,2022-03-17,2022-03-21,277.1351719207764,304.84085049438477,18.712735006971712,507.558658248402,0.09777396985538168,BUY,52,,VOLATILE,2,TAKE_PROFIT
TSLA,2022-03-22,2022-03-24,310.155,336.4083718261719,24.561949947953504,628.9531475824724,0.08247884840521227,BUY,76,,VOLATILE,2,TAKE_PROFIT
TSLA,2022-03-25,2022-03-29,336.168,369.1453215789795,22.80337293447698,735.9106396380257,0.09590374006125407,BUY,76,,VOLATILE,2,TAKE_PROFIT
TSLA,2022-03-30,2022-04-07,363.9051893005371,350.6212630462647,18.985257293159556,-265.76422634129085,-0.03842887831652077,BUY,68,,VOLATILE,6,STOP_LOSS
TSLA,2022-04-08,2022-04-12,347.9105321502685,332.38038804626467,22.13632239592401,-358.83941587387744,-0.04654714154046471,BUY,76,,VOLATILE,2,STOP_LOSS
TSLA,2022-10-31,2022-11-03,226.30309744262695,211.2543206100464,23.202416796833326,-359.32038193826793,-0.06836346281635944,BUY,52,,VOLATILE,3,STOP_LOSS
TSLA,2022-12-01,2022-12-05,197.1785418319702,189.34528244018557,26.534899522027846,-218.11112173091715,-0.041645361448154,BUY,52,,VOLATILE,2,STOP_LOSS
TSLA,2023-01-25,2023-01-27,141.9809586639404,162.34877767944337,53.74223608600595,1078.2567775496418,0.14116995702760213,BUY,76,,VOLATILE,2,TAKE_PROFIT
TSLA,2023-01-30,2023-01-31,178.13902805328368,164.48772232055666,38.73617816414936,-542.0714618824722,-0.07847776359478459,BUY,68,,VOLATILE,1,STOP_LOSS
TSLA,2023-02-01,2023-02-03,173.97694438934326,183.85802194976807,44.09252962670673,419.9038562220403,0.054683848475518215,BUY,76,,VOLATILE,2,TAKE_PROFIT
TSLA,2023-02-07,2023-02-08,196.52820767211912,196.00195610046387,35.06939849607827,-32.2211228106371,-0.004670392522419026,BUY,68,,VOLATILE,1,STOP_LOSS
TSLA,2023-02-09,2023-02-13,207.88388877868653,194.32278816986084,33.143199425160795,-462.7886780072158,-0.06710167877750682,BUY,68,,VOLATILE,2,STOP_LOSS
TSLA,2023-02-21,2023-02-23,205.09250049591063,203.80804866027833,37.375239011062845,-63.28945011142241,-0.008248281726411242,BUY,76,,VOLATILE,2,STOP_LOSS
TSLA,2023-02-24,2023-03-03,196.4281668319702,194.70260305023194,34.89417896872339,-73.86031850636573,-0.01076515657480869,BUY,68,,VOLATILE,5,STOP_LOSS
TSLA,2023-06-22,2023-06-23,250.89538927459716,259.1603635406494,40.94843358956199,317.5517657317505,0.030878093711862026,BUY,68,,SIDEWAYS,1,TAKE_PROFIT
TSLA,2023-06-26,2023-07-18,250.19504232788086,290.00491889953616,46.03855061768259,1807.9189943692108,0.15679945453456307,BUY,76,,SIDEWAYS,15,TAKE_PROFIT
TSLA,2023-07-19,2023-07-21,296.1880285491943,267.86600000000004,41.668104322374596,-1203.6283023141423,-0.09742873637986399,BUY,60,,BULL,2,STOP_LOSS
TSLA,2023-07-25,2023-07-27,272.51619488525387,268.17584255981444,44.7580833593746,-218.4661904747918,-0.01789313180724184,BUY,60,,BULL,2,SIGNAL
TSLA,2024-02-16,2024-02-21,202.16102755737305,193.2633206100464,52.177701606918205,-484.8942317302026,-0.04592303254598009,BUY,52,,BEAR,2,SIGNAL
TSLA,2024-02-22,2024-03-05,194.09699999999998,182.95847805023195,54.08594234304558,-622.8308568078555,-0.05926971233179182,BUY,52,,BEAR,8,STOP_LOSS
TSLA,2024-07-12,2024-07-16,235.91790305328368,255.18234255981446,32.31746445135666,606.7067241979676,0.0794962333655774,BUY,76,,VOLATILE,2,TAKE_PROFIT
TSLA,2024-07-17,2024-07-22,252.85636072540282,244.08790171051027,27.141609943611634,-251.47796172351082,-0.03660634481823572,BUY,68,,VOLATILE,3,STOP_LOSS
TSLA,2024-07-24,2024-07-25,225.53270816802979,216.69160305023195,30.354112945295856,-281.787229996743,-0.04112066692664792,BUY,68,,VOLATILE,1,STOP_LOSS
TSLA,2024-09-30,2024-10-03,259.1695285491943,244.35775572967532,58.87917818550694,-901.7522837760262,-0.05903471827626518,BUY,76,,BULL,3,STOP_LOSS
TSLA,2024-10-04,2024-10-11,246.81334744262693,220.0199398803711,54.82235932571345,-1494.4707191611014,-0.11033847287399044,BUY,68,,BULL,5,STOP_LOSS
TSLA,2024-10-28,2024-10-30,270.135,257.91098854064944,27.571078936994112,-351.58798250489235,-0.047159080199757356,BUY,76,,VOLATILE,2,STOP_LOSS
TSLA,2024-10-31,2024-11-01,258.1189852294922,251.91397328948975,25.724719237173293,-172.74264467947614,-0.02598931867020594,BUY,68,,VOLATILE,1,STOP_LOSS
TSLA,2024-11-04,2024-11-07,244.68227755737303,288.7455696411133,27.08943093839493,1179.1992509935062,0.17772589945132594,BUY,68,,VOLATILE,3,TAKE_PROFIT
TSLA,2024-11-08,2024-11-11,299.2895846557617,346.1268377990723,22.41444222350564,1035.364255377228,0.15418408590095778,BUY,68,,VOLATILE,1,TAKE_PROFIT
TSLA,2024-11-12,2024-11-13,342.9113602294922,335.6820811004639,19.768209293963437,-156.3244800408338,-0.0230379436612232,BUY,68,,VOLATILE,1,STOP_LOSS
TSLA,2024-11-14,2024-11-15,327.85384744262694,310.4147223205567,20.64372325013238,-373.18471245789806,-0.05508349070277803,BUY,68,,VOLATILE,1,STOP_LOSS
TSLA,2024-11-18,2024-12-06,340.90037599182125,377.2313034210205,22.10628328007668,787.2665512402909,0.10436250892286722,BUY,76,,VOLATILE,13,TAKE_PROFIT
TSLA,2024-12-09,2024-12-10,397.8087903442383,392.48365267944337,17.084221600073924,-104.47736314173653,-0.015357430341709971,BUY,68,,VOLATILE,1,STOP_LOSS
TSLA,2024-12-11,2024-12-12,409.9048622131347,424.6275763397217,33.12552151107643,460.0532612567149,0.03384762821729948,BUY,68,,BULL,1,TAKE_PROFIT
TSLA,2024-12-13,2024-12-16,420.21,440.8694513397217,32.46190492736521,642.6928659572768,0.04706835462051574,BUY,68,,BULL,1,TAKE_PROFIT
TSLA,2024-12-17,2024-12-18,476.1379438934326,466.26675,28.832266271683746,-311.7805538248849,-0.02268837409427772,BUY,68,,BULL,1,TAKE_PROFIT
TSLA,2024-12-19,2024-12-20,452.1059448852539,425.2972547607422,33.83248478320974,-936.6893310960895,-0.06117688829835719,BUY,76,,BULL,1,STOP_LOSS
TSLA,2024-12-23,2024-12-30,431.21549999999996,417.2012986602783,35.14167036422901,-522.2972273684281,-0.034432367036931415,BUY,76,,BULL,5,MAX_HOLD
SUMMARY,,,0.0,0.0,39.0,-727.648609584634,0.3333333333333333,ALL,39,avg_pnl_per_trade=-18.66; sharpe=-1.8272; profit_factor=0.9335; avg_hold_bars=2.85,ALL,2.8461538461538463,SUMMARY
